text,intent
tem camiseta da furia para vender?,apoio
Quais as estatísticas do KSCERATO?,estatisticas
qual a formação do time?,jogadores
Me mostra o KD dos jogadores,estatisticas
Quais empresas são parceiras da Furia?,parceiros
quando é a próxima partida da furia?,agenda
Fale sobre os jogadores atuais.,jogadores
Quero ver as estatísticas,estatisticas
Tem camiseta da Furia para vender?,apoio
quem são os patrocinadores?,parceiros
qual a agenda do time?,agenda
Onde encontro a loja da Furia?,apoio
Me diga as datas dos torneios,agenda
Estatísticas da temporada?,estatisticas
Quantos jogadores tem no time?,jogadores
Quem teve mais kills?,estatisticas
Quais são os próximos campeonatos?,agenda
Quais são os parceiros da Furia?,parceiros
Me mostra o KD dos jogadores,estatisticas
Me diga os números da equipe,estatisticas
quantos jogadores tem no time?,jogadores
estatísticas da temporada?,estatisticas
qual o desempenho do time?,estatisticas
onde encontro a loja da furia?,apoio
Tem algum jogo marcado?,agenda
quando é a próxima partida da furia?,agenda
Como ser um torcedor melhor?,apoio
Me fala sobre a equipe da Furia.,jogadores
Estatísticas da temporada?,estatisticas
onde compro os produtos da furia?,apoio
Qual a agenda da equipe?,agenda
Quantos mapas o FalleN jogou?,estatisticas
Me fale sobre os patrocinadores.,parceiros
Quais marcas estão com a Furia?,parceiros
Como posso apoiar o time?,apoio
Qual a formação do time?,jogadores
Onde encontro a loja da Furia?,apoio
onde encontro a loja da furia?,apoio
como posso apoiar o time?,apoio
Quero saber quando tem jogo,agenda
Quem são os principais jogadores?,jogadores
tem jogo da furia amanhã?,agenda
quero saber quando tem jogo,agenda
Mostre os dados dos jogadores,estatisticas
quando o time joga de novo?,agenda
quais as estatísticas do kscerato?,estatisticas
Como apoiar o time fora dos jogos?,apoio
quais marcas estão com a furia?,parceiros
como apoiar o time fora dos jogos?,apoio
Tem algum jogo marcado?,agenda
quero saber sobre o elenco.,jogadores
o time joga esta semana?,agenda
kd dos jogadores da furia,estatisticas
Quero saber sobre o elenco.,jogadores
Quais as estatísticas do KSCERATO?,estatisticas
Quem são os jogadores titulares?,jogadores
Quais empresas são parceiras da Furia?,parceiros
Onde encontro a loja da Furia?,apoio
Como posso apoiar o time?,apoio
quem patrocina o time?,parceiros
me mostra o kd dos jogadores,estatisticas
KD dos jogadores da Furia,estatisticas
Onde posso adquirir produtos da marca?,apoio
quem são os jogadores titulares?,jogadores
quais eventos o time vai jogar?,agenda
quando é a próxima partida da furia?,agenda
o time joga esta semana?,agenda
A equipe joga esta semana?,agenda
quando o time joga de novo?,agenda
onde compro os produtos da furia?,apoio
Como ser um torcedor melhor?,apoio
A equipe joga esta semana?,agenda
qual o desempenho do time?,estatisticas
Onde posso adquirir produtos da marca?,apoio
Estatísticas da temporada?,estatisticas
Quem são os patrocinadores?,parceiros
quais são os próximos campeonatos?,agenda
quais são os próximos campeonatos?,agenda
Me diga os números da equipe,estatisticas
Quero ajudar a Furia.,apoio
A Furia tem apoio de quais empresas?,parceiros
Quem está no elenco da Furia?,jogadores
Estatísticas da temporada?,estatisticas
Me diga as datas dos torneios,agenda
estatísticas da temporada?,estatisticas
Quem são os principais jogadores?,jogadores
Estatísticas da temporada?,estatisticas
quantos jogadores tem no time?,jogadores
A equipe joga esta semana?,agenda
quero saber sobre o elenco.,jogadores
Como apoiar o time fora dos jogos?,apoio
A Furia tem apoio de quais empresas?,parceiros
quem está no elenco da furia?,jogadores
Quero comprar da loja oficial.,apoio
Quais são os parceiros da Furia?,parceiros
tem camiseta da furia para vender?,apoio
quem são os patrocinadores?,parceiros
Fale sobre os jogadores atuais.,jogadores
Como participo como fã?,apoio
KD dos jogadores da Furia,estatisticas
Quero comprar da loja oficial.,apoio
quem são os principais jogadores?,jogadores
Quem patrocina a equipe?,parceiros
Me diga os números da equipe,estatisticas
quero ajudar a furia.,apoio
Me fala sobre a equipe da Furia.,jogadores
Como posso apoiar o time?,apoio
me fala sobre o time da furia.,jogadores
Quem são os patrocinadores?,parceiros
KD dos jogadores da Furia,estatisticas
Quem patrocina a equipe?,parceiros
onde posso adquirir produtos da marca?,apoio
Quais são os próximos campeonatos?,agenda
Como ser um torcedor melhor?,apoio
Quais marcas patrocinam o time?,parceiros
Onde compro os produtos da Furia?,apoio
Me fale sobre os patrocinadores.,parceiros
Quem são os jogadores titulares?,jogadores
como ser um torcedor melhor?,apoio
Quem são os membros da equipe?,jogadores
Como participo como fã?,apoio
Quem são os patrocinadores?,parceiros
Como posso apoiar o time?,apoio
quero saber sobre o elenco.,jogadores
KD dos jogadores da Furia,estatisticas
quem investe no time?,parceiros
KD dos jogadores da Furia,estatisticas
fale sobre os jogadores atuais.,jogadores
quem são os membros do time?,jogadores
Quais eventos a equipe vai jogar?,agenda
Quero ver as estatísticas,estatisticas
quando o time joga de novo?,agenda
Me fale sobre os patrocinadores.,parceiros
Quais são os próximos campeonatos?,agenda
quando é a próxima partida da furia?,agenda
kd dos jogadores da furia,estatisticas
